Ease of Harvest;
Total Oil Composition;0.5 mL/100g
Myrcene Oil Composition;42%
Humulene Oil Composition;18.4%
Caryophyllene Oil;
Farnesene Oil;
Substitutes;
Style Guide;




"		"Also Known As;Kent Golding, EKG, Canterbury Golding
Characteristics;Aromas of lavender, spice, honey, thyme, earthy flavors
Purpose;Aroma
Alpha Acid Composition;5%-6%
Beta Acid Composition;2%-3%
Co-Humulone Composition;29%
Country;
Cone Size;Large
Cone Density;Loose
Seasonal Maturity;Early
Yield Amount;640 kg/hectare (570 lbs/acre)
Growth Rate;High
Resistant to;Moderately resistant to downy mildew
Susceptible to;Susceptible to hop mosaic virus
Storability;Retains 78% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.85 mL/100g
Myrcene Oil Composition;42%
Humulene Oil Composition;27%
Caryophyllene Oil;9%
Farnesene Oil;0%-1%
Substitutes;
Style Guide;Pale Ale, Extra Special English Ale, English Dark Ale, English Light Ale, Belgian Ale, Christmas Ale




"		"Also Known As;
Characteristics;Pleasant continental-style aroma
Purpose;Aroma
Alpha Acid Composition;5.15%
Beta Acid Composition;1.9%-2%
Co-Humulone Composition;25.50%
Country;Japan
Cone Size;
Cone Density;
Seasonal Maturity;Mid to late
Yield Amount;2110 kg/hectare (1875 lbs/acre)
Growth Rate;Very high
Resistant to;
Susceptible to;
Storability;Retains 83% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.45mL/100g
Myrcene Oil Composition;25%
Humulene Oil Composition;25%
Caryophyllene Oil;8%
Farnesene Oil;4.9%-5%
Substitutes;
Style Guide;




"		"Also Known As;
Characteristics;
Purpose;Aroma
Alpha Acid Composition;6%
Beta Acid Composition;3%
Co-Humulone Composition;30%
Country;UK
Cone Size;
Cone Density;
Seasonal Maturity;Mid to late
Yield Amount;810 kg/hectare (720 lbs/acre)
Growth Rate;
Resistant to;Tolerant of verticillium wilt
Susceptible to;Moderately susceptible to downy mildew
Storability;Retains 70% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;1.50 mL/100g
Myrcene Oil Composition;50%
Humulene Oil Composition;25%
Caryophyllene Oil;8%
Farnesene Oil;0.2%
Substitutes;
Style Guide;English Ales, Belgian Ales




"		"Also Known As;
Characteristics;Flavors of tropical fruit, pineapple, mango. Aromas of pear, watermelon, stone fruit and candy.
Purpose;Bittering & Aroma
Alpha Acid Composition;13%-17%
Beta Acid Composition;7%-8%
Co-Humulone Composition;28%-33%
Country;US
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;2650-2880 kg/hectare (2300-2500 lbs/acre)
Growth Rate;
Resistant to;
Susceptible to;
Storability;Retains 60%-75% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;2.50-3.3 mL/100g
Myrcene Oil Composition;55%-60%
Humulene Oil Composition;10%-15%
Caryophyllene Oil;6%-8%
Farnesene Oil;0.1%
Substitutes;
Style Guide;Wheat, India Pale Ale




"		"Also Known As;Stella
Characteristics;Tropical flavors, grapefruit, star anise
Purpose;Aroma
Alpha Acid Composition;13.3%-16.3%
Beta Acid Composition;4.8%-7.8%
Co-Humulone Composition;34%-38%
Country;Australia
Cone Size;
Cone Density;Compact
Seasonal Maturity;Late
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;2.4-3.4 mL/100g
Myrcene Oil Composition;40%-50%
Humulene Oil Composition;16%-22%
Caryophyllene Oil;12%-18%
Farnesene Oil;0%-1%
Substitutes;
Style Guide;Lager, Pilsner, Pale Ale, Stout




"		"Also Known As;Elsasser
Characteristics;European noble aroma
Purpose;Aroma
Alpha Acid Composition;4.65%
Beta Acid Composition;5.78%
Co-Humulone Composition;20%-30%
Country; France
Cone Size;
Cone Density;
Seasonal Maturity;Early
Yield Amount;810 kg/hectare (720 lbs/acre)
Growth Rate;Low
Resistant to;Moderately resistant to downy mildew
Susceptible to;
Storability;Retains 63% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.28-1.13 mL/100g
Myrcene Oil Composition;38%
Humulene Oil Composition;32%
Caryophyllene Oil;11.6%-11.7%
Farnesene Oil;1.7%
Substitutes;
Style Guide;




"		"Also Known As;HBC 366 Cv.
Characteristics;Notes of lemon and lime citrus, fruits like papaya and apple, green peppers and herbs
Purpose;Aroma
Alpha Acid Composition;14.5%-15.5%
Beta Acid Composition;4.5%-5.5%
Co-Humulone Composition;32%-38%
Country;US
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;2.5-4.5 mL/100g
Myrcene Oil Composition;
Humulene Oil Composition;
Caryophyllene Oil;
Farnesene Oil;
Substitutes;
Style Guide;IPA, American Ale, Pilsner




"		"Also Known As;
Characteristics;
Purpose;Aroma
Alpha Acid Composition;4.8%-6.7%
Beta Acid Composition;3.5%-6.7%
Co-Humulone Composition;39%
Country;New Zealand
Cone Size;
Cone Density;
Seasonal Maturity;Late
Yield Amount;900-1570 kg/hectare (800-1400 lbs/acre)
Growth Rate;
Resistant to;
Susceptible to;Moderately susceptible to downy mildew
Storability;Retains 74% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.51-1.25 mL/100g
Myrcene Oil Composition;71%
Humulene Oil Composition;1%
Caryophyllene Oil;1.3%
Farnesene Oil;
Substitutes;
Style Guide;




"		"Also Known As;Fuggles, Fuggle UK
Characteristics;
Purpose;Aroma
Alpha Acid Composition;2.4%-6.1%
Beta Acid Composition;2.1%-2.8%
Co-Humulone Composition;25%-29%
Country;UK
Cone Size;
Cone Density;
Seasonal Maturity;Early
Yield Amount;1008-1233 kg/hectare (900-1100 lbs/acre)
Growth Rate;Low to moderate
Resistant to;Resistant to downy mildew
Susceptible to;Moderately susceptible to verticillium wilt, carries the apple and cherry strain of Prunus Necrotic Ringspot virus and the Hop Mosaic virus
Storability;
Ease of Harvest;
Total Oil Composition;0.44-0.83 mL/100g
Myrcene Oil Composition;43.4%
Humulene Oil Composition;26.6%
Caryophyllene Oil;9.1%
Farnesene Oil;4.3%
Substitutes;
Style Guide;English Ale, Porter, Mild Ale, Bitter, Extra Special Bitter, Lambic, Amber Ale, Cask Ale, Stout, Oatmeal Stout, Strong Ale, Nut Brown Ale, Golden Ale, Christmas Ale




"		"Also Known As;US Fuggle
Characteristics;
Purpose;Aroma
Alpha Acid Composition;4%-5.5%
Beta Acid Composition;1.5%-2%
Co-Humulone Composition;25%-33%
Country;US
Cone Size;Small
Cone Density;Moderate to compact
Seasonal Maturity;Early
Yield Amount;1070-1600 kg/hectare (955-1420 lbs/acre)
Growth Rate;Moderate
Resistant to;Resistant to downy mildew and prunus necrotic ring-spot virus
Susceptible to;
Storability;Retains 60%-65% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.7-1.4 mL/100g
Myrcene Oil Composition;24%-28%
Humulene Oil Composition;35%-40%
Caryophyllene Oil;11%-13%
Farnesene Oil;4%-5%
Substitutes;
Style Guide;English Pale Ale, Belgian India Pale Ale, Extra Special Bitter, Brown Ale, Red Ale




"		"Also Known As;
Characteristics;Robust woody and fruity aroma
Purpose;Aroma
Alpha Acid Composition;4.1%-7.7%
Beta Acid Composition;2.1%-3.9%
Co-Humulone Composition;26%
Country;
Cone Size;
Cone Density;
Seasonal Maturity;Early
Yield Amount;1120-1570 kg/hectare (1000-1400 lbs/acre)
Growth Rate;Poor to moderate
Resistant to;Resistant to downy mildew
Susceptible to;Moderately susceptible to Verticillium wilt
Storability;Retains 73% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.41-1.89 mL/100g
Myrcene Oil Composition;47%
Humulene Oil Composition;24%
Caryophyllene Oil;8.1%
Farnesene Oil;4.1%
Substitutes;
Style Guide;Stout, English Pale Ale, Belgian India Pale Ale, Extra Special Bitter, Brown Ale, Red Ale




"		"Also Known As;
Characteristics;
Purpose;Aroma, Breeding
Alpha Acid Composition;5.6%
Beta Acid Composition;3%
Co-Humulone Composition;26.4%
Country;UK
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;974 kg/hectare (869 lbs/acre)
Growth Rate;
Resistant to;Resistant to downy mildew
Susceptible to;
Storability;Retains 72% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.95 mL/100g
Myrcene Oil Composition;48%
Humulene Oil Composition;24%
Caryophyllene Oil;8%
Farnesene Oil;4.2%
Substitutes;
Style Guide;




"		"Also Known As;
Characteristics;European-style aroma
Purpose;Aroma
Alpha Acid Composition;7%-8%
Beta Acid Composition;5%-8%
Co-Humulone Composition;21%
Country;Japan
Cone Size;
Cone Density;
Seasonal Maturity;Late
Yield Amount;1040 kg/hectares (925 lbs/acre)
Growth Rate;Very good
Resistant to;Resistant to downy mildew and botrytis
Susceptible to;
Storability;Retains 70% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;1.53 mL/100g
Myrcene Oil Composition;50%
Humulene Oil Composition;19%
Caryophyllene Oil;7%
Farnesene Oil;12%
Substitutes;
Style Guide;




"		"Also Known As;
Characteristics;Citrusy-mango aroma
Purpose;Aroma
Alpha Acid Composition;7.50%
Beta Acid Composition;
Co-Humulone Composition;
Country;US
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
East of Harvest;
Total Oil Composition;
Myrcene Oil Composition;
Humulene Oil Composition;
Caryophyllene Oil;
Farnesene Oil;
Substitutes;
Style Guide;




"		"Also Known As;
Characteristics;
Purpose;Aroma
Alpha Acid Composition;5.4%
Beta Acid Composition;4.6%
Co-Humulone Composition;50%
Country;Japan
Cone Size;
Cone Density;
Seasonal Maturity;Late
Yield Amount;1790-2240 kg/hectare (1600-2000 lbs/acre)
Growth Rate;Very good
Resistant to;Resistant to downy mildew
Susceptible to;
Storability;Retains 64% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.63 mL/100g
Myrcene Oil Composition;57%
Humulene Oil Composition;13%
Caryophyllene Oil;5%
Farnesene Oil;None
Substitutes;
Style Guide;




"		"Also Known As;British Columbia Golding, BC Golding
Characteristics;Exhibits an earthy aroma profile with a flavor profile of smooth, rounded spice.
Purpose;Aroma
Alpha Acid Composition;4%-7%
Beta Acid Composition;
Co-Humulone Composition;
Country;Canada
Cone Size;
Cone Density;
Seasonal Maturity;Early
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
East of Harvest;
Total Oil Composition;
Myrcene Oil Composition;
Humulene Oil Composition;
Caryophyllene Oil;
Farnesene Oil;
Substitutes;East Kent Golding, Golding (American), Fuggle, Willamette
Style Guide;English Pale Ale, Stout, Porter




"		"Also Known As;US Golding, US Goldings, Northwest Goldings
Characteristics;Delicate English-style aromas, fruit, herbs
Purpose;Aroma
Alpha Acid Composition;4%-6%
Beta Acid Composition;2%-3%
Co-Humulone Composition;20%-20%
Country;US
Cone Size;Small
Cone Density;Loose
Seasonal Maturity;Early to mid
Yield Amount;900-1500 kg/hectare (802-1338 lbs/acre)
Growth Rate;Moderate
Resistant to;
Susceptible to;
Storability;Retains 66% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;Moderate to difficult
Total Oil Composition;0.4-1.0 mL/100g
Myrcene Oil Composition;25%-35%
Humulene Oil Composition;35%-45%
Caryophyllene Oil;13%-16%
Farnesene Oil;1%
Substitutes;
Style Guide;Bitter, Pale Ale, Belgian Ale, Belgian IPA, Barley Wine, Imperial Stout, Red Ale, Irish Stout, American Pale Ale




"		"Also Known As;Green Belle, Green Bubble Belle
Characteristics;Pleasing continental aroma
Purpose;Aroma
Alpha Acid Composition;4.9%
Beta Acid Composition;3.5%
Co-Humulone Composition;27%
Country;Belgium
Cone Size;
Cone Density;
Seasonal Maturity;Mid to late
Yield Amount;825 kg/hectare (740 lbs/acre)
Growth Rate;Low to moderate
Resistant to;
Susceptible to;
Storability;Retains 58% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.98 mL/100g
Myrcene Oil Composition;39%
Humulene Oil Composition;32%
Caryophyllene Oil;18%
Farnesene Oil;2.41%
Substitutes;
Style Guide;




"		"Also Known As;
Characteristics;Flavors of white-wine and fruit, aromas of cassis, elderflower, grapes, grapefruit and lemongrass.
Purpose;Aroma
Alpha Acid Composition;9%-12%
Beta Acid Composition;4.5%-6%
Co-Humulone Composition;22%-26%
Country;Germany
Cone Size;
Cone Density;
Seasonal Maturity;Late
Yield Amount;1150-1600 kg/hectare (1020-1420 lbs/acre)
Growth Rate;
Resistant to;Resistant to downy and powdery mildew
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;0.8-1.5 mL/100g
Myrcene Oil Composition;50%-75%
Humulene Oil Composition;0%-3%
Caryophyllene Oil;0%-2%
Farnesene Oil;0%-3.5%
Substitutes;
Style Guide;




"		"Also Known As;NZ Hallertau
Characteristics;Distinct lime ‘zing’, delicately floral, clean tasting
Purpose;Aroma
Alpha Acid Composition;7%-9%
Beta Acid Composition;5.8%-8.5%
Co-Humulone Composition;28%-35%
Country;New Zealand
Cone Size;Medium
Cone Density;Loose
Seasonal Maturity;Early
Yield Amount;2300-2400 kg/hectare (2052-2141 lbs/acre)
Growth Rate;High
Resistant to;
Susceptible to;
Storability;Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;Moderate
Total Oil Composition;0.9-1.1 mL/100g
Myrcene Oil Composition;35%-48%
Humulene Oil Composition;10%-16.8%
Caryophyllene Oil;6%-8.2%
Farnesene Oil;5%-6.7%
Substitutes;
Style Guide;Pale Ale, Lager, Pilsner, Bitter, Bock, American Lager




"		"Also Known As;US Hallertau
Characteristics;Flowery, delicately spicy
Purpose;Aroma
Alpha Acid Composition;3.5%-5.5%
Beta Acid Composition;3.5%-5.5%
Co-Humulone Composition;18-24%
Country;US
Cone Size;Small
Cone Density;Loose
Seasonal Maturity;Early
Yield Amount;1900-1400 kg/hectare (1695-1240 lbs/acre)
Growth Rate;
Resistant to;
Susceptible to;Necrotic ring-spot virus, downey mildew, verticillium wilt and insects
Storability;Retains 52%-58% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.6-1.0 mL/100g
Myrcene Oil Composition;35-44%
Humulene Oil Composition;30-38%
Caryophyllene Oil;10-12%
Farnesene Oil;1%
Substitutes;
Style Guide;Lager, Pilsner, Bock, Wheat Beer, Kölsch, Munich Helles, Belgian Ale, American Lager




"		"Also Known As;
Characteristics;Flavors of white-wine and fruit, aromas of cassis, elderflower, grapes, grapefruit and lemongrass.
Purpose;Aroma
Alpha Acid Composition;9%-12%
Beta Acid Composition;4.5%-6%
Co-Humulone Composition;22%-26%
Country;Germany
Cone Size;
Cone Density;
Seasonal Maturity;Late
Yield Amount;1150-1600 kg/hectare (1020-1420 lbs/acre)
Growth Rate;
Resistant to;Resistant to downy and powdery mildew
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;0.8-1.5 mL/100g
Myrcene Oil Composition;50%-75%
Humulene Oil Composition;0%-3%
Caryophyllene Oil;0%-2%
Farnesene Oil;0%-3.5%
Substitutes;
Style Guide;




"		"Also Known As;Hallertau Gold
Characteristics;Pleasing continental aroma
Purpose;Aroma
Alpha Acid Composition;7%-10%
Beta Acid Composition;5%-7%
Co-Humulone Composition;20%
Country;Germany
Cone Size;
Cone Density;
Seasonal Maturity;Early
Yield Amount;1345-1565 kg/hectare (1200-1400 lbs/acre)
Growth Rate;Moderate to high
Resistant to;Resistant to downy mildew and moderately resistant to powdery mildew
Susceptible to; Susceptible to Verticillium wilt
Storability;Retains 47% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;1.78 mL/100g
Myrcene Oil Composition;63%
Humulene Oil Composition;17%
Caryophyllene Oil;4.8%
Farnesene Oil;0.2%
Substitutes;
Style Guide;American Lager




"		"Also Known As;Tradition, German Tradition, H Tradition
Characteristics; Earthy, grassy, aromas of nectar fruits
Purpose;Aroma
Alpha Acid Composition;4.6%-7%
Beta Acid Composition;4%-5%
Co-Humulone Composition;23%-29%
Country;Germany
Cone Size;Medium
Cone Density;Compact
Seasonal Maturity;
Yield Amount;1560-1780 kg/hectare (1390-1580 lbs/acre)
Growth Rate;High
Resistant to;Resistant to verticillium wilt, downy mildew and powdery mildew
Susceptible to;
Storability;Retains 65%-70% alpha acid after 6 months storage at 20ºC (68ºF)
East of Harvest;Difficult
Total Oil Composition;0.9-1.9 mL/100g
Myrcene Oil Composition;20%-25%
Humulene Oil Composition;40%-55%
Caryophyllene Oil;10%-15%
Farnesene Oil;0%-1%
Substitutes;Retains 65%-70% alpha acid after 6 months storage at 20ºC (68ºF)
Style Guide;American Lager




"		"Also Known As;Southern Hallertau
Characteristics;Noble-style aroma, mildly floral and spicy
Purpose;Aroma
Alpha Acid Composition;5.4%-7.3%
Beta Acid Composition;5%-7%
Co-Humulone Composition;20%-23%
Country;Australia
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;0.6-1.0 mL/100g
Myrcene Oil Composition;1%-13%
Humulene Oil Composition;35%-55%
Caryophyllene Oil;10%-15%
Farnesene Oil;
Substitutes;
Style Guide;Ales




"		"Also Known As;Hersbrucker-G, Hersbrucker Late, Hersbrucker Spaet, Hersbrucker Spat
Characteristics;Floral, fruity and spicy aromas
Purpose;Aroma
Alpha Acid Composition;2%-5%
Beta Acid Composition;4%-6%
Co-Humulone Composition;19%-25%
Country;Germany
Cone Size;Medium
Cone Density;Moderate
Seasonal Maturity;Late
Yield Amount;1400-1800 kg/hectare (1240-1610 lbs/acre)
Growth Rate;Very high
Resistant to;Resistant to verticillium wilt
Susceptible to;Susceptible to downy mildew
Storability;Retains 55%-65% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;Difficult
Total Oil Composition;0.5-1.3 mL/100g
Myrcene Oil Composition;10%-25%
Humulene Oil Composition;15%-35%
Caryophyllene Oil;7%-15%
Farnesene Oil;0%-1%
Substitutes;
Style Guide;Dunkel, Strong Ale, Pilsner, Altbier, Weizenbock, Golden Ale, Marzen, Pale Ale, Wheat, Specialty Ale, Hefeweizen, Light Ale, Lager




"		"Also Known As;
Characteristics;
Purpose;Aroma
Alpha Acid Composition;4%-6%
Beta Acid Composition;5%-7%
Co-Humulone Composition;22%-24%
Country;UK
Cone Size;
Cone Density;
Seasonal Maturity;Late
Yield Amount;700 kg/hectare (620 lbs/acre)
Growth Rate;Very high
Resistant to;
Susceptible to;Moderately susceptible to downy mildew
Storability;Retains 58% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.63 mL/100g
Myrcene Oil Composition;46%
Humulene Oil Composition;29%
Caryophyllene Oil;9%
Farnesene Oil;0.2%
Substitutes;
Style Guide;Lager, Pilsner, Bock, Weizenbock, Wheat Beer, Belgian Ale, Kölsch, Munich Helles




"		"Also Known As;
Characteristics;Pleasing noble aroma
Purpose;Aroma
Alpha Acid Composition;4.7%-6%
Beta Acid Composition;2%-3%
Co-Humulone Composition;20%-28%
Country;
Cone Size;Medium
Cone Density;Moderate
Seasonal Maturity;
Yield Amount;1500-1550 kg/hectare (1330-1390 lbs/acre)
Growth Rate;Moderate
Resistant to;Resistant to verticillium wilt, powdery mildew and pernaspora
Susceptible to;
Storability;Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;Difficult
Total Oil Composition;0.6-1.2 mL/100g
Myrcene Oil Composition;24%-50%
Humulene Oil Composition;10%-27%
Caryophyllene Oil;4%-11%
Farnesene Oil;0%-1%
Substitutes;
Style Guide;Pilsner, Hefeweizen, Lager




"		"Also Known As;Hersbrucker Alpha
Characteristics;Pleasing noble characteristics
Purpose;Aroma
Alpha Acid Composition;5%-6%
Beta Acid Composition;5%-6%
Co-Humulone Composition;18%
Country;Germany
Cone Size;
Cone Density;
Seasonal Maturity;Late
Yield Amount;1110 kg/hectare (990 lbs/acre)
Growth Rate;High
Resistant to;
Susceptible to;Moderately susceptible to downy mildew
Storability;Retains 60% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;1.20 mL/100g
Myrcene Oil Composition;55%
Humulene Oil Composition;10%
Caryophyllene Oil;9%
Farnesene Oil;Trace
Substitutes;
Style Guide;




"		"Also Known As;Huell Melon
Characteristics;Intensely fruity, flavors and aromas of honeydew melon, strawberry
Purpose;Aroma
Alpha Acid Composition;6.9%-7.5%
Beta Acid Composition;7.3%-7.9%
Co-Humulone Composition;25%-30%
Country;Germany
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;0.8 mL/100g
Myrcene Oil Composition;36%
Humulene Oil Composition;10%-20%
Caryophyllene Oil;5%-10%
Farnesene Oil;< 1%
Substitutes;
Style Guide;




"		"Also Known As; Hybrid
Characteristics;
Purpose;Aroma
Alpha Acid Composition;10.2%
Beta Acid Composition;6.3%
Co-Humulone Composition;32%
Country;South Africa
Cone Size;
Cone Density;
Seasonal Maturity;Mid to late
Yield Amount;1570-2240 kg/hectare (1400-2000 lbs/acre)
Growth Rate;High
Resistant to;
Susceptible to;Moderately susceptible to downy mildew
Storability;Retains 60% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.91 mL/100g
Myrcene Oil Composition;52%
Humulene Oil Composition;3%
Caryophyllene Oil;9%
Farnesene Oil;3.9%
Substitutes;
Style Guide;




"		"Also Known As;
Characteristics;Mellow aroma of citrus and pine. Heady floral and herbal notes.
Purpose;Aroma
Alpha Acid Composition;7.3%-8%
Beta Acid Composition;4.60%
Co-Humulone Composition;
Country;US
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;
Myrcene Oil Composition;
Humulene Oil Composition;
Caryophyllene Oil;
Farnesene Oil;
Substitutes;
Style Guide;American Ale, California Common, Stout, India Pale Ale




"		"Also Known As;
Characteristics;Pleasing European aroma
Purpose;Aroma
Alpha Acid Composition;5.1%
Beta Acid Composition;2.3%
Co-Humulone Composition;32%
Country; UK
Cone Size;
Cone Density;
Seasonal Maturity;Very early
Yield Amount;1120 kg/hectare (< 1000 lbs/acre)
Growth Rate;Low
Resistant to;Resistant to downy mildew
Susceptible to;
Storability;Retains 68% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.58 mL/100g
Myrcene Oil Composition;40%
Humulene Oil Composition;34%
Caryophyllene Oil;10.9%
Farnesene Oil;None
Substitutes;
Style Guide;




"		"Also Known As;
Characteristics;Tropical fruit, grapefruit, blackcurrant, hints of lychee
Purpose;Aroma
Alpha Acid Composition;7%-9%
Beta Acid Composition;4%-6%
Co-Humulone Composition;23%-28%
Country;UK
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;
Growth Rate;
Resistant to;Verticillium Wilt
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;0.6-1.2 mL/100g
Myrcene Oil Composition;45%-50%
Humulene Oil Composition;2%
Caryophyllene Oil;
Farnesene Oil;0.1-0.2%
Substitutes;
Style Guide;Pale Ale, IPA




"		"Also Known As;OJ47
Characteristics;Lemon and grapefruit notes
Purpose;Aroma
Alpha Acid Composition;8.6%
Beta Acid Composition;3.3%
Co-Humulone Composition;33%
Country;UK
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;710 kg/hectare (630 lbs/acre)
Growth Rate;Moderate to high
Resistant to;
Susceptible to;Moderately suceptible to downy mildew
Storability;Retains 72% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;1.39 mL/100g
Myrcene Oil Composition;45%
Humulene Oil Composition;22%
Caryophyllene Oil;7%
Farnesene Oil;Trace Amounts
Substitutes;Keyworth’s Midseason
Style Guide;American Ales




"		"Also Known As;
Characteristics;
Purpose;Aroma
Alpha Acid Composition;7.5%
Beta Acid Composition;3.1%
Co-Humulone Composition;46%
Country;UK
Cone Size;
Cone Density;
Seasonal Maturity;
Yield Amount;1680-2460 kg/hectare (1500-2200 lbs/acre)
Growth Rate;High to very high
Resistant to;Moderately resistant to downy mildew
Susceptible to;
Storability;Retains 45% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.89 mL/100g
Myrcene Oil Composition;56%
Humulene Oil Composition;13%
Caryophyllene Oil;10%
Farnesene Oil;Trace Amounts
Substitutes;
Style Guide;




"		"Also Known As;
Characteristics;Intense tropical fuit and pine needle aroma
Purpose;Aroma
Alpha Acid Composition;6.80%
Beta Acid Composition;4%-6%
Co-Humulone Composition;21%
Country;New Zealand
Cone Size;
Cone Density;Loose
Seasonal Maturity;Early to mid
Yield Amount;
Growth Rate;
Resistant to;
Susceptible to;
Storability;
Ease of Harvest;
Total Oil Composition;0.12-1.0 mL/100g
Myrcene Oil Composition;35.5%
Humulene Oil Composition;36.5%
Caryophyllene Oil;11.5%
Farnesene Oil;0.3%
Substitutes;
Style Guide;Ale, Pale Ale, India Pale Ale




"		"Also Known As;
Characteristics;Pleasing European aroma
Purpose;Aroma
Alpha Acid Composition;3.2%-4.1%
Beta Acid Composition;2.5%-3.5%
Co-Humulone Composition;21%-25%
Country;Germany
Cone Size;
Cone Density;
Seasonal Maturity;Early
Yield Amount;1120 kg/hectare (< 1000 lbs/acre)
Growth Rate;Moderate
Resistant to;Moderately resistant to downy mildew
Susceptible to;Susceptible to Yellow Fleck, Hop Mosaic virus and Hop Latent virus
Storability;Retains 66% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;
Total Oil Composition;0.37 mL/100g
Myrcene Oil Composition;37%
Humulene Oil Composition;22%
Caryophyllene Oil;6.3%
Farnesene Oil;13.3%
Substitutes;
Style Guide;




"		"Also Known As;
Characteristics;Noble hop characteristics
Purpose;Aroma
Alpha Acid Composition;3%-6%
Beta Acid Composition;3.5%
Co-Humulone Composition;24%-28%
Country;US
Cone Size;Medium
Cone Density;Compact
Seasonal Maturity;Early
Yield Amount;1200-2000 kg/hectare (1070-1780 lbs/acre)
Growth Rate;Very high
Resistant to;Moderately resistant to downy mildew
Susceptible to;
Storability;Retains 35%-55% alpha acid after 6 months storage at 20ºC (68ºF)
Ease of Harvest;Moderate to easy
Total Oil Composition;1.3 mL/100g
Myrcene Oil Composition;46%
Humulene Oil Composition;31%
Caryophyllene Oil;9%-12%
Farnesene Oil;1%
Substitutes;
Style Guide;Bock, Lager, Pale Ale




"		"Also Known As;Lublin, Lubelski
Characteristics;Noble-like character
Purpose;Aroma
Alpha Acid Composition;3%-5%
Beta Acid Composition;2.5%-4%
Co-Humulone Composition;25%-28%
Country;Czechoslovakia
Cone Size;Medium
Cone Density;Loose
Seasonal Maturity;Early
Yield Amount;900-1250 kg/hectare (800-1120 lbs/acre)
Growth Rate;Moderate
Resistant to;
Susceptible to;
